OID_,FID,COUNT,AREA,MEAN
1,0,7.000000000000000,38.723328000002361,44.401714324957140
2,1,83.000000000000000,459.148032000028024,44.121301306308425
3,2,30.000000000000000,165.957120000010121,44.931333414713322
4,3,18.000000000000000,99.574272000006076,44.936000188183328
5,4,6.000000000000000,33.191424000002023,44.839332580600001
6,5,2.000000000000000,11.063808000000675,43.770999908450001
7,6,6.000000000000000,33.191424000002023,45.584332784033336
8,7,4.000000000000000,22.127616000001350,45.460999488824996
9,8,2.000000000000000,11.063808000000675,45.121000289950004
10,9,4.000000000000000,22.127616000001350,43.755999565124995
11,10,4.000000000000000,22.127616000001350,44.928500175474994
12,11,2.000000000000000,11.063808000000675,45.215999603249998
13,12,1.000000000000000,5.531904000000337,44.776000976600002
14,13,8.000000000000000,44.255232000002700,44.745999813074995
15,14,6.000000000000000,33.191424000002023,45.634333292633336
16,15,4.000000000000000,22.127616000001350,44.808500289925000
17,16,1.000000000000000,5.531904000000337,44.706001281699997
18,17,2.000000000000000,11.063808000000675,44.696001052850001
19,18,4.000000000000000,22.127616000001350,44.031000137325002
20,19,2.000000000000000,11.063808000000675,45.141000747649997
21,20,2.000000000000000,11.063808000000675,45.305999755900004
22,21,3.000000000000000,16.595712000001011,44.382667541499998
23,22,8.000000000000000,44.255232000002700,44.327250480675005
24,23,4.000000000000000,22.127616000001350,44.213500976549994
25,24,6.000000000000000,33.191424000002023,44.871000289933328
26,25,2.000000000000000,11.063808000000675,44.855998992899998
27,26,2.000000000000000,11.063808000000675,44.895999908400000
28,27,2.000000000000000,11.063808000000675,44.381000518800001
29,28,11.000000000000000,60.850944000003715,44.783272483145453
30,29,6.000000000000000,33.191424000002023,44.750999450649999
31,30,16.000000000000000,88.510464000005399,44.484750270837488
32,31,4.000000000000000,22.127616000001350,44.466000556925003
33,32,3.000000000000000,16.595712000001011,44.342666625999996
34,33,14.000000000000000,77.446656000004722,44.883143016271426
35,34,13.000000000000000,71.914752000004384,44.520615504346146
36,35,9.000000000000000,49.787136000003038,44.322667015933334
37,36,24.000000000000000,132.765696000008091,44.664333025616671
38,37,9.000000000000000,49.787136000003038,44.560444725888892
39,38,1.000000000000000,5.531904000000337,44.395999908400000
40,39,4.000000000000000,22.127616000001350,44.373499870300002
41,40,3.000000000000000,16.595712000001011,44.359333038366671
42,41,3.000000000000000,16.595712000001011,44.949333190899999
43,42,6.000000000000000,33.191424000002023,44.386001586900001
44,43,12.000000000000000,66.382848000004046,43.930166562399997
45,44,1.000000000000000,5.531904000000337,44.995998382600000
46,45,10.000000000000000,55.319040000003376,44.445999908439994
47,46,2.000000000000000,11.063808000000675,43.781000137299998
48,47,3.000000000000000,16.595712000001011,43.715999603266667
49,48,5.000000000000000,27.659520000001688,43.687999725339999
50,49,1.000000000000000,5.531904000000337,44.445999145499997
51,50,6.000000000000000,33.191424000002023,45.221000671383337
52,51,16.000000000000000,88.510464000005399,45.181000471112498
53,52,10.000000000000000,55.319040000003376,43.727999496459994
54,53,10.000000000000000,55.319040000003376,44.134000015260000
55,54,2.000000000000000,11.063808000000675,44.100999832200003
56,55,2.000000000000000,11.063808000000675,44.480998992949999
57,56,8.000000000000000,44.255232000002700,43.893500328062501
58,57,8.000000000000000,44.255232000002700,45.210999965675001
59,58,6.000000000000000,33.191424000002023,43.826000213616666
60,59,8.000000000000000,44.255232000002700,45.182249546037504
61,60,14.000000000000000,77.446656000004722,44.088142939992856
62,61,4.000000000000000,22.127616000001350,45.196000099174995
63,62,6.000000000000000,33.191424000002023,44.476000467933332
64,63,6.000000000000000,33.191424000002023,44.097667058316667
65,64,14.000000000000000,77.446656000004722,44.233857018614280
66,65,2.000000000000000,11.063808000000675,44.125999450649999
67,66,6.000000000000000,33.191424000002023,44.905999501533337
68,67,8.000000000000000,44.255232000002700,44.980999469750003
69,68,1.000000000000000,5.531904000000337,44.476001739499999
70,69,2.000000000000000,11.063808000000675,44.196001052849994
71,70,4.000000000000000,22.127616000001350,45.276000976549994
72,71,84.000000000000000,464.679936000028363,45.201833270838122
73,72,103.000000000000000,569.786112000034791,45.161048666946591
74,73,2.000000000000000,11.063808000000675,44.801000595100000
75,74,1.000000000000000,5.531904000000337,44.155998230000002
76,75,4.000000000000000,22.127616000001350,44.988499641424994
77,76,25.000000000000000,138.297600000008430,45.268400421148002
78,77,2.000000000000000,11.063808000000675,44.951000213599997
79,78,1.000000000000000,5.531904000000337,44.476001739499999
80,79,47.000000000000000,259.999488000015845,44.853659771855298
81,80,1.000000000000000,5.531904000000337,43.925998687700002
82,81,2.000000000000000,11.063808000000675,44.650999069199997
83,82,4.000000000000000,22.127616000001350,44.138501167300007
84,83,4.000000000000000,22.127616000001350,44.415999412524997
85,84,2.000000000000000,11.063808000000675,44.451000213599997
86,85,3.000000000000000,16.595712000001011,44.102667490666668
87,86,2.000000000000000,11.063808000000675,43.865999221799996
88,87,8.000000000000000,44.255232000002700,44.472249507912501
89,88,4.000000000000000,22.127616000001350,44.166000366199995
90,89,2.000000000000000,11.063808000000675,44.341001510650003
91,90,2.000000000000000,11.063808000000675,44.026000976549994
92,91,1.000000000000000,5.531904000000337,44.195999145499997
93,92,6.000000000000000,33.191424000002023,44.270999908449994
94,93,4.000000000000000,22.127616000001350,44.308501243599999
95,95,6.000000000000000,33.191424000002023,44.365999857583333
96,96,4.000000000000000,22.127616000001350,44.033500671400006
97,97,8.000000000000000,44.255232000002700,44.601000309000000
98,98,12.000000000000000,66.382848000004046,44.920999844858336
99,99,4.000000000000000,22.127616000001350,44.423500060999999
