id X Y
Y032136 505480.7 306838.6
Y031614 505395.5 307068.8
Y032277 505515.1 306782.5
Y033133 505491.8 306778.9
Y035691 505382.9 306730.3
Y030797 505472.6 306830.7
Y032839 505395.3 307090.3
Y031737 505535 306783.9
Y033682 505475.2 306780
Y035152 505379.8 306730.2
Y034022 505471.5 306826.8
Y035073 505395.6 307108.8
Y030542 505538.1 306806.6
Y031393 505460.1 306778.9
Y036038 505474.1 306797.1
Y030712 505376.8 306762.6
Y035645 505471 306825
Y034985 505395.2 307111.7
Y035147 505539.3 306820.3
Y029653 505452.6 306779.6
Y036040 505473.3 306811.8
Y030969 505373.3 306779.4
Y030124 505389 307111.6
Y032936 505539.9 306827.7
Y036039 505472.7 306821.1
Y032374 505370.2 307111.3
Y031582 505533.6 306846.5
Y033202 505455.5 306819
Y029963 505346.1 307111
YF_01035 505446.5 306818.6
Y032358 505301.2 307111.5
Y033153 505420.9 306815.5
Y033912 505393.8 306807
Y032760 505393.5 306809.4
Y037249 505389 306804.5
Y031395 505392.9 306826.4
Y031829 505369.7 306794.4
Y030800 505392.9 306834.2
Y029905 505392.9 306836.2
Y030134 505392.6 306861.1
Y030583 505393.4 306870
Y034775 505394.2 306884.8
Y033431 505396.3 306890.1
Y030306 505396.9 306899.8
Y030527 505397 306906.6
Y031544 505407.8 306906.5
Y031142 505416.3 306906.7
