Id X Y
4115 505879.001833934 307199.78380296
4115 505879.121533934 307194.515102964
4115 505879.122133937 307194.487802964
4115 505879.51083032 307168.366059076
4047 505878.96983393 307201.16960296
4047 505878.70683393 307211.37320296
4047 505878.44203393 307221.61980296
4047 505878.19023393 307231.42740296
4047 505877.94313393 307241.01610296
4047 505877.75103393 307248.47380296
4047 505877.65803393 307252.05060296
4047 505877.62813393 307253.22860296
4047 505877.75403393 307254.04360296
4047 505878.96983393 307201.16960296
4156 505863.230633933 307266.685002957
4156 505863.52643393 307255.558302969
4156 505863.851433929 307243.366002969
4156 505864.171433933 307231.332402959
4156 505864.480633933 307219.722802959
4156 505864.78853393 307208.166202962
4156 505864.907433935 307203.690602962
4156 505864.826433934 307202.574402962
4156 505864.588433929 307201.941702966
4156 505864.17653393 307201.330602966
4156 505863.713433929 307200.898602959
4156 505862.680833932 307200.392602962
4156 505862.283633929 307200.313602969
4156 505862.31163393 307200.000502963
4156 505862.320633929 307199.787602957
4156 505862.391718987 307198.108011395
4156 505807.388195597 307197.033293072
4156 505807.341499999 307231.743551023
4156 505808.712628964 307257.424619779
4156 505841.926433928 307272.204102967
4156 505844.799633931 307272.493002955
4156 505843.545233935 307258.994102966
4156 505843.34733393 307251.730502959
4156 505846.585333928 307251.556502964
4156 505849.887033932 307251.429502968
4156 505849.887033932 307250.921602964
4156 505860.32463393 307250.943502955
4156 505860.258733928 307256.560302962
4156 505849.887033932 307256.508302968
4156 505849.887033932 307256.127302971
4156 505846.585333928 307256.127302971
4156 505846.884133935 307259.180102959
4156 505861.246633932 307259.981102969
4156 505860.749633934 307271.523702957
4156 505858.559733931 307273.623702958
4156 505863.048633929 307273.677802965
4156 505863.230633933 307266.685002957
4156 505846.077233929 307249.777502965
4156 505845.823233932 307240.254002962
4156 505842.267233934 307240.254002962
4156 505842.267233934 307232.635302968
4156 505839.727433935 307232.635302968
4156 505836.42453393 307232.762302965
4156 505836.42453393 307233.270102963
4156 505826.518933937 307233.397202961
4156 505826.390933931 307227.048502963
4156 505836.296533931 307226.921502966
4156 505836.296533931 307228.063402958
4156 505839.726433929 307227.937302958
4156 505839.599433932 307225.270502962
4156 505836.423633929 307225.270502962
4156 505836.423633929 307222.475702956
4156 505836.296533931 307217.904702973
4156 505831.724633928 307217.904702973
4156 505831.724633928 307211.556102961
4156 505836.296533931 307211.556102961
4156 505836.169633932 307209.77810296
4156 505838.455533929 307209.77810296
4156 505838.328533933 307209.143102959
4156 505828.930833936 307209.143102959
4156 505829.184833933 307215.99990296
4156 505826.136933934 307216.126902968
4156 505826.136933934 307216.253902961
4156 505826.263933931 307216.253902961
4156 505826.263933931 307217.52370296
4156 505828.803833928 307217.396702964
4156 505828.930833936 307222.221702967
4156 505826.263933931 307222.348702963
4156 505826.263933931 307225.270502962
4156 505825.248033933 307225.270502962
4156 505825.249033932 307233.270102963
